epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,448.128,1.03365,0.61424,0.94087,0.79641,0.53559,0.61961,0.39181,1.07343,0.63321,0.96386,0.000554432,0.000554432,0.000554432
2,825.187,1.07765,0.65026,0.95328,0.76758,0.55103,0.6171,0.3889,1.10907,0.64589,0.98021,0.00109178,0.00109178,0.00109178
3,1200.13,1.08219,0.65862,0.9588,0.76901,0.53531,0.6048,0.38238,1.11084,0.67101,0.97591,0.00161079,0.00161079,0.00161079
4,1982.3,1.46507,1.02159,1.11026,0.60283,0.35473,0.39536,0.22938,1.45491,1.01653,1.12451,0.00158448,0.00158448,0.00158448
5,2770.11,1.45528,1.0069,1.10758,0.64889,0.42035,0.4751,0.28091,1.32662,0.87753,1.06509,0.00158448,0.00158448,0.00158448
6,3551.8,1.36954,0.91259,1.07081,0.69627,0.42386,0.48939,0.29141,1.30502,0.82984,1.04927,0.00155698,0.00155698,0.00155698
7,4333.94,1.28919,0.83132,1.03237,0.71768,0.48288,0.5445,0.33491,1.19673,0.73268,1.01014,0.00152947,0.00152947,0.00152947
8,5120.07,1.20264,0.75358,1.00053,0.78397,0.50222,0.58502,0.36042,1.14145,0.69773,0.98831,0.00150197,0.00150197,0.00150197
9,5899.41,1.20955,0.75985,1.00261,0.72011,0.47032,0.54303,0.33626,1.16071,0.73249,0.99727,0.00147446,0.00147446,0.00147446
10,6682.74,1.16969,0.72031,0.98411,0.73163,0.51598,0.58121,0.36278,1.13928,0.70023,0.98974,0.00144696,0.00144696,0.00144696
11,7464.4,1.14954,0.70817,0.97531,0.78853,0.4905,0.58128,0.36386,1.13528,0.67875,0.98724,0.00141945,0.00141945,0.00141945
12,8236.74,1.13757,0.69839,0.97334,0.73469,0.50386,0.56715,0.35463,1.14288,0.6898,0.9934,0.00139195,0.00139195,0.00139195
13,9018.38,1.12608,0.68256,0.96791,0.78949,0.51763,0.59105,0.36595,1.1154,0.66719,0.98068,0.00136444,0.00136444,0.00136444
14,9806.02,1.12054,0.67795,0.96216,0.7178,0.49946,0.55958,0.34648,1.15935,0.68805,0.99675,0.00133693,0.00133693,0.00133693
15,10586,1.14591,0.7001,0.97626,0.7485,0.51335,0.57483,0.35837,1.14164,0.6862,0.98873,0.00130943,0.00130943,0.00130943
16,11364.6,1.13166,0.68979,0.97164,0.76756,0.51092,0.57512,0.35638,1.15893,0.68283,0.99848,0.00128192,0.00128192,0.00128192
